"subject","group","hostname","word","list_type","list_length","class","rating","old_new","acc","credit","lab"
102,"old","cMAPLab-Behav","conjure","semantic",2,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","rode","phonetic",2,"target",5,"old",1,"n","n"
102,"old","cMAPLab-Behav","jargon","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","meal","phonetic",8,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","best","phonetic",8,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","mooring","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","face","phonetic",8,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","fade","phonetic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","gambler","semantic",8,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","opossum","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","sip","phonetic",2,"critical",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","cow","phonetic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","twister","semantic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","bird","phonetic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","rose","phonetic",2,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","pull","phonetic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","sis","phonetic",2,"related",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","west","phonetic",8,"critical",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","gutter","semantic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","run","phonetic",8,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","bun","phonetic",8,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","cap","phonetic",2,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","phantom","semantic",2,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","vanish","semantic",2,"target",1,"new",0,"n","n"
102,"old","cMAPLab-Behav","fitness","semantic",8,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","coon","phonetic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","invitation","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","boom","phonetic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","foil","phonetic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","jasmine","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","hate","phonetic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","real","phonetic",8,"target",1,"new",0,"n","n"
102,"old","cMAPLab-Behav","jogging","semantic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","sin","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","haunting","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","booty","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","wallet","semantic",8,"related",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","undergrowth","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","sirens","semantic",8,"target",1,"new",0,"n","n"
102,"old","cMAPLab-Behav","monoxide","semantic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","but","phonetic",8,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","cod","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","mugging","semantic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","tornado","semantic",8,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","cat","phonetic",2,"critical",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","pun","phonetic",8,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","roulette","semantic",8,"related",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","honeycomb","semantic",0,"lure",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","robbery","semantic",8,"critical",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","rope","phonetic",2,"target",4,"old",1,"n","n"
102,"old","cMAPLab-Behav","fire","phonetic",2,"target",5,"old",1,"n","n"
102,"old","cMAPLab-Behav","ghost","semantic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","test","phonetic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","magician","semantic",2,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","fate","phonetic",8,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","infant","semantic",8,"critical",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","saw","phonetic",0,"lure",3,"new",1,"n","n"
102,"old","cMAPLab-Behav","wood","phonetic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","sat","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","mime","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","apparition","semantic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","bout","phonetic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","inferno","semantic",0,"lure",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","stroller","semantic",8,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","bur","phonetic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","cog","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","rabbit","semantic",2,"related",6,"old",0,"n","n"
102,"old","cMAPLab-Behav","triplicate","semantic",0,"lure",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","mike","phonetic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","funnel","semantic",8,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","pest","phonetic",8,"target",1,"new",0,"n","n"
102,"old","cMAPLab-Behav","cop","phonetic",2,"critical",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","yaw","phonetic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","boon","phonetic",8,"critical",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","raw","phonetic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","swamps","semantic",2,"related",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","sit","phonetic",2,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","dinosaur","semantic",2,"critical",4,"old",0,"n","n"
102,"old","cMAPLab-Behav","boot","phonetic",8,"target",6,"old",1,"n","n"
102,"old","cMAPLab-Behav","pharaoh","semantic",2,"related",2,"new",1,"n","n"
102,"old","cMAPLab-Behav","book","phonetic",0,"lure",1,"new",1,"n","n"
102,"old","cMAPLab-Behav","lawn","phonetic",0,"lure",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","bison","semantic",0,"lure",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","industry","semantic",0,"lure",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","tortilla","semantic",0,"lure",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","scissors","semantic",0,"lure",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","sin","phonetic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","pacifier","semantic",2,"target",1,"new",0,"n","n"
103,"old","cMAPLab-Behav","hate","phonetic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","run","phonetic",2,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","sit","phonetic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","veal","phonetic",8,"target",1,"new",0,"n","n"
103,"old","cMAPLab-Behav","aerobics","semantic",2,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","precious","semantic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","pest","phonetic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","saw","phonetic",0,"lure",3,"new",1,"n","n"
103,"old","cMAPLab-Behav","hallucination","semantic",2,"target",3,"new",0,"n","n"
103,"old","cMAPLab-Behav","dinosaur","semantic",2,"critical",3,"new",1,"n","n"
103,"old","cMAPLab-Behav","inferno","semantic",0,"lure",3,"new",1,"n","n"
103,"old","cMAPLab-Behav","cod","phonetic",2,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","raw","phonetic",0,"lure",2,"new",1,"n","n"
103,"old","cMAPLab-Behav","bout","phonetic",0,"lure",2,"new",1,"n","n"
103,"old","cMAPLab-Behav","dole","phonetic",2,"target",1,"new",0,"n","n"
103,"old","cMAPLab-Behav","noon","phonetic",2,"related",4,"old",0,"n","n"
103,"old","cMAPLab-Behav","perk","phonetic",0,"lure",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","skeletons","semantic",2,"related",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","courtyard","semantic",8,"related",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","pull","phonetic",0,"lure",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","mire","phonetic",2,"critical",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","gazette","semantic",0,"lure",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","hire","phonetic",2,"target",5,"old",1,"n","n"
103,"old","cMAPLab-Behav","brilliance","semantic",8,"related",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","fire","phonetic",2,"related",5,"old",0,"n","n"
103,"old","cMAPLab-Behav","castle","semantic",8,"critical",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","cop","phonetic",2,"critical",1,"new",1,"n","n"
103,"old","cMAPLab-Behav","fur","phonetic",0,"lure",2,"new",1,"n","n"
103,"old","cMAPLab-Behav","dachshund","semantic",0,"lure",4,"old",0,"n","n"
103,"old","cMAPLab-Behav","fame","phonetic",8,"target",3,"new",0,"n","n"
103,"old","cMAPLab-Behav","but","phonetic",2,"related",3,"new",1,"n","n"
