"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","k"
21,48,0,1.6120582011149,0.595926321726083,3.03440654607428,0.903553824210342,1.18974438921747,3.97716958089588,2.49697634555891,1.81375883031871,3.38335151340449,1.6120582011149,1.53868935654768,3.97716958089588,2.28654795131098
22,49,0,1.07485313473083,0.400363384534748,0.873152505527015,0.189934990286823,0.400363384534748,0.873152505527015,1.07485313473083,-0.347495210228554,0.873152505527015,1.07485313473083,0.170479266955516,0.873152505527015,0.400363384534748
23,50,0,0.671569811089447,0.409209084345105,2.57261983492227,0.20750845514129,-0.214805356756141,2.57261983492227,0.20750845514129,0.881998205337372,1.35478732632964,1.0924265995853,0.65211408775814,1.97880176743089,0.881998205337372
24,51,0,-0.101442561556038,0.184748003451087,2.37835512763811,0.607061815348519,0.808762444552334,2.9721731951295,1.07112317129668,0.533692970781299,2.9721731951295,1.07112317129668,0.533692970781299,2.9721731951295,1.2815515655446
25,52,0,0.450920508715275,1.08605604105261,3.52453626540081,0.450920508715275,0.143293006231016,2.93071819790943,2.04434303006384,1.08605604105261,3.52453626540081,1.15942488561983,0.737111073722401,3.52453626540081,1.83391463581591
26,53,0,1.20975067502304,1.19029495169174,2.16803766403427,0.0371849421703294,0.323375507177455,3.11080069885587,2.09466881946705,0.672320474507666,3.11080069885587,1.20975067502304,0.947389948278701,3.11080069885587,1.42017906927097
27,54,0,0.517484896633719,-0.019945303881658,1.20070241187391,1.40240304107773,-0.368890271211869,2.41853492046654,0.938341685129569,0.957797408460876,2.41853492046654,0.0534235406855623,0.255124169889377,2.41853492046654,0.727913290881644
28,55,0,-0.655080836218995,0.255124169889377,1.47577188564495,0.0534235406855623,-0.368890271211869,1.47577188564495,0.0534235406855623,0.498029173302412,2.41853492046654,0.0534235406855623,-0.368890271211869,1.82471685297516,0.727913290881644
29,56,0,0.386072493335344,0.587773122539159,1.80842083829473,-0.322431883569213,0.312703648768124,1.53335136452369,1.73505199372751,1.29044636111066,2.15736580562494,-0.322431883569213,-0.0362413185620873,1.80842083829473,1.06056224353143
30,57,0,0.450920508715275,1.08605604105261,2.93071819790943,0.450920508715275,0.143293006231016,2.93071819790943,2.04434303006384,1.36112551482365,2.93071819790943,1.62348624156799,0.737111073722401,2.30670375680818,1.83391463581591
31,58,0,1.80364721227098,1.12042969703078,2.69002238011656,0.210224690922411,0.496415255929537,3.28384044760795,1.38279042377513,0.845360223259748,3.28384044760795,1.80364721227098,0.496415255929537,2.34107741278635,1.59321881802305
32,59,0,0.899177465268857,0.454571832652007,1.32149127716629,0.0142593208248506,-0.523170879690527,1.91530934465767,0.0142593208248506,0.697476836065043,1.91530934465767,0.0142593208248506,-0.523170879690527,0.972546309836077,0.224687715072775
33,60,0,0.0371849421703294,0.947389948278701,2.16803766403427,1.20975067502304,0.323375507177455,2.51698263136448,1.20975067502304,0.947389948278701,3.11080069885587,0.0371849421703294,0.947389948278701,3.11080069885587,1.42017906927097
34,61,0,-0.101442561556038,1.05166744796537,2.9721731951295,-0.101442561556038,0.184748003451087,2.9721731951295,0.607061815348519,0.184748003451087,2.9721731951295,0.607061815348519,-0.409070064040297,2.9721731951295,1.2815515655446
35,62,0,1.27099063777935,1.06056224353143,1.80842083829473,-0.322431883569213,-0.630059386053472,1.29044636111066,1.27099063777935,1.29044636111066,2.15736580562494,0.386072493335344,0.312703648768124,1.06056224353143,1.06056224353143
36,63,0,0.0371849421703294,0.323375507177455,2.51698263136448,0.745689319074886,0.323375507177455,2.51698263136448,1.63060746351889,1.19029495169174,1.89296819026324,0.745689319074886,0.323375507177455,3.11080069885587,1.42017906927097
37,64,0,0.745689319074886,0.947389948278701,2.51698263136448,1.20975067502304,0.323375507177455,2.51698263136448,2.09466881946705,0.947389948278701,1.89296819026324,2.09466881946705,0.947389948278701,2.51698263136448,1.42017906927097
38,65,0,0.210224690922411,0.496415255929537,3.28384044760795,0.918729067826969,0.496415255929537,2.69002238011656,1.38279042377513,1.12042969703078,2.34107741278635,1.38279042377513,1.12042969703078,2.69002238011656,1.59321881802305
39,66,0,1.15942488561983,0.737111073722401,2.58177323057922,1.15942488561983,1.08605604105261,2.93071819790943,1.62348624156799,0.143293006231016,2.93071819790943,2.04434303006384,1.36112551482365,2.30670375680818,1.83391463581591
40,67,0,0.09879123974098,0.118246963072287,-0.111637154506945,0.09879123974098,-0.341521272086177,-0.111637154506945,-0.786126904703026,0.118246963072287,0.361151966485322,-0.786126904703026,-0.584426275499212,-0.111637154506945,-0.111637154506945
41,68,0,1.20975067502304,0.323375507177455,2.51698263136448,0.0371849421703294,0.323375507177455,2.51698263136448,0.0371849421703294,0.947389948278701,3.11080069885587,1.20975067502304,0.947389948278701,2.16803766403427,1.42017906927097
42,69,0,1.01300028230723,0.572687770480077,1.27536100905158,0.592143493811385,0.0547132932960074,1.89937545015282,0.128082137863228,0.572687770480077,1.89937545015282,0.592143493811385,0.0547132932960074,2.49319351764421,0.802571888059309
43,70,0,1.15942488561983,0.737111073722401,2.93071819790943,1.62348624156799,0.737111073722401,3.52453626540081,1.62348624156799,0.143293006231016,3.52453626540081,0.450920508715275,0.737111073722401,3.52453626540081,1.83391463581591
44,71,0,0.938341685129569,0.957797408460876,1.47577188564495,-0.655080836218995,0.255124169889377,1.47577188564495,0.517484896633719,1.47577188564495,1.82471685297516,0.938341685129569,0.255124169889377,1.47577188564495,0.727913290881644
45,72,0,0.850133849283501,0.830678125952194,2.15736580562494,0.386072493335344,0.312703648768124,2.15736580562494,0.850133849283501,0.830678125952194,2.75118387311632,1.27099063777935,1.06056224353143,2.15736580562494,1.06056224353143
46,73,0,0.210224690922411,0.496415255929537,2.69002238011656,1.80364721227098,0.845360223259748,2.69002238011656,1.38279042377513,0.845360223259748,2.69002238011656,1.38279042377513,0.845360223259748,3.28384044760795,1.59321881802305
47,74,0,0.210224690922411,0.496415255929537,2.34107741278635,0.210224690922411,-0.0974028115618475,2.69002238011656,0.210224690922411,1.12042969703078,3.28384044760795,0.210224690922411,-0.0974028115618475,1.82310293560228,1.59321881802305
48,75,0,-0.251065299970234,0.286364900545144,0.635309867875355,-0.251065299970234,0.286364900545144,0.635309867875355,0.92150043288248,0.635309867875355,0.0112954267741088,-0.251065299970234,-0.231609576638926,-0.231609576638926,-0.461493694218158
49,76,0,0.450920508715275,0.143293006231016,2.93071819790943,0.450920508715275,0.143293006231016,3.52453626540081,1.15942488561983,0.737111073722401,2.93071819790943,1.62348624156799,0.143293006231016,3.52453626540081,1.83391463581591
50,77,0,1.38279042377513,1.12042969703078,2.69002238011656,0.918729067826969,0.496415255929537,3.28384044760795,0.918729067826969,1.82310293560228,3.28384044760795,2.26770856821913,1.36333470044382,2.69002238011656,1.59321881802305
51,78,0,0.450920508715275,0.143293006231016,2.93071819790943,0.450920508715275,0.143293006231016,3.52453626540081,0.450920508715275,0.737111073722401,3.52453626540081,1.62348624156799,0.737111073722401,3.52453626540081,1.83391463581591
52,79,0,0.446680172176964,0.184319445432622,1.7539121285184,-0.0173811837711927,-0.0907500283384131,1.40496716118819,0.867536960672814,-0.439694995668624,1.40496716118819,0.867536960672814,0.657108566424889,1.12989768741716,0.657108566424889
53,80,0,0.671569811089447,1.1118823229166,1.35478732632964,-0.500995921763267,0.13413961057407,1.1118823229166,2.26499233243801,0.65211408775814,1.97880176743089,0.20750845514129,0.409209084345105,1.1118823229166,0.881998205337372
54,81,0,-0.101442561556038,0.184748003451087,2.37835512763811,0.607061815348519,0.184748003451087,2.9721731951295,0.607061815348519,1.05166744796537,2.37835512763811,-0.101442561556038,0.184748003451087,2.0294101603079,1.2815515655446
55,82,0,-0.734828906955965,-0.294516395128809,0.572403049385473,-0.313972118460116,-1.27225910747134,0.572403049385473,-0.313972118460116,0.223458082055261,1.16622111687686,-0.313972118460116,-0.754284630287273,-0.294516395128809,-0.524400512708041
56,83,0,1.37437797640119,-0.526672047431633,2.85457121173816,0.489459831957183,-0.526672047431633,1.3938336997325,0.489459831957183,0.416090987389963,2.85457121173816,-0.219044544947374,0.0671460200597513,2.85457121173816,1.16394958215326
57,84,0,0.450920508715275,0.143293006231016,2.93071819790943,0.450920508715275,0.143293006231016,2.93071819790943,2.508404386012,0.737111073722401,3.52453626540081,1.62348624156799,0.143293006231016,2.93071819790943,1.83391463581591
58,85,0,0.734828906955965,0.754284630287273,1.62120407480155,1.19889026290412,0.0516113917157734,0.754284630287273,-0.150089237488041,0.754284630287273,1.27225910747134,-0.150089237488041,-0.223458082055261,1.27225910747134,0.524400512708041
59,86,0,1.01300028230723,0.0547132932960074,1.55043048282261,0.592143493811385,0.0547132932960074,2.49319351764421,0.592143493811385,0.572687770480077,1.55043048282261,1.01300028230723,0.572687770480077,1.55043048282261,0.802571888059309
60,87,0,-0.0850339523463032,0.819339915429011,1.33731439261308,0.379027403601854,0.116666676857511,1.68625935994329,0.799884192097703,0.819339915429011,0.819339915429011,1.26394554804586,0.359571680270546,2.28007742743468,0.589455797849779
61,88,0,0.450920508715275,0.143293006231016,2.58177323057922,0.450920508715275,0.143293006231016,2.93071819790943,1.62348624156799,1.08605604105261,2.58177323057922,0.450920508715275,0.737111073722401,2.58177323057922,1.83391463581591
62,89,0,0.850133849283501,-0.630059386053472,1.06056224353143,-0.322431883569213,0.312703648768124,2.75118387311632,0.386072493335344,0.830678125952194,1.53335136452369,1.27099063777935,0.587773122539159,1.80842083829473,1.06056224353143
63,90,0,0.386072493335344,0.587773122539159,2.15736580562494,-0.322431883569213,-0.0362413185620873,2.75118387311632,1.27099063777935,1.06056224353143,2.75118387311632,0.386072493335344,0.587773122539159,2.75118387311632,1.06056224353143
64,91,0,0.210224690922411,0.845360223259748,2.34107741278635,0.918729067826969,-0.0974028115618475,3.28384044760795,1.38279042377513,-0.0974028115618475,2.34107741278635,1.38279042377513,0.496415255929537,2.69002238011656,1.59321881802305
65,92,0,0.756993171853777,0.494632445109434,2.6580431956866,0.29293181590562,0.219562971338399,1.715280160865,0.756993171853777,0.737537448522469,2.6580431956866,0.29293181590562,0.219562971338399,1.715280160865,0.967421566101701
66,93,0,0.450920508715275,0.143293006231016,2.30670375680818,1.62348624156799,0.143293006231016,2.58177323057922,1.15942488561983,0.143293006231016,2.58177323057922,3.21690876291655,1.60403051823668,3.52453626540081,1.83391463581591
67,94,1,0.450920508715275,0.143293006231016,2.58177323057922,0.450920508715275,0.143293006231016,2.58177323057922,1.15942488561983,1.08605604105261,3.52453626540081,1.15942488561983,0.737111073722401,2.30670375680818,1.83391463581591
68,95,0,0.903553824210342,0.595926321726083,2.51643206889021,2.07611955706306,0.595926321726083,3.38335151340449,1.6120582011149,1.81375883031871,2.75933707230325,1.6120582011149,1.18974438921747,3.38335151340449,2.28654795131098
69,96,1,0.29293181590562,-0.723200063483196,1.715280160865,0.756993171853777,0.219562971338399,2.06422512819521,0.756993171853777,-0.723200063483196,2.06422512819521,1.17784996034963,1.19730568368093,2.06422512819521,0.967421566101701
70,97,1,1.6120582011149,0.595926321726083,2.75933707230325,1.6120582011149,1.18974438921747,2.51643206889021,1.6120582011149,0.595926321726083,2.51643206889021,1.6120582011149,1.18974438921747,2.75933707230325,2.28654795131098
71,98,1,1.62348624156799,0.737111073722401,2.93071819790943,0.450920508715275,0.143293006231016,2.58177323057922,2.04434303006384,1.83391463581591,3.52453626540081,1.62348624156799,0.737111073722401,2.93071819790943,1.83391463581591
72,99,1,1.6120582011149,0.595926321726083,1.53868935654768,1.6120582011149,0.595926321726083,2.51643206889021,0.903553824210342,1.53868935654768,1.81375883031871,1.6120582011149,0.595926321726083,3.03440654607428,2.28654795131098
73,100,1,0.903553824210342,1.18974438921747,2.28654795131098,0.903553824210342,1.18974438921747,3.38335151340449,2.07611955706306,1.18974438921747,3.97716958089588,2.49697634555891,1.53868935654768,2.51643206889021,2.28654795131098
74,102,1,-0.562852595689137,-0.361151966485322,1.80225878409184,1.49463128160758,-0.118246963072287,0.859495749270247,0.32206554875487,0.111637154506945,0.859495749270247,0.786126904703027,0.584426275499212,0.859495749270247,0.111637154506945
75,103,1,0.274126365661334,-0.170479266955516,0.347495210228554,-0.189934990286823,0.0724257364575192,1.29025824505015,0.274126365661334,0.696440177558765,0.347495210228554,0.98263074256589,-0.170479266955516,0.347495210228554,-0.400363384534748
76,104,1,1.07112317129668,1.05166744796537,1.75434068653687,1.07112317129668,0.533692970781299,1.75434068653687,1.49197995979253,0.533692970781299,2.37835512763811,1.49197995979253,1.05166744796537,2.37835512763811,1.2815515655446
77,105,1,0.210224690922411,-0.0974028115618475,1.59321881802305,0.918729067826969,1.12042969703078,2.06600793901532,2.26770856821913,1.12042969703078,1.36333470044382,0.918729067826969,1.12042969703078,1.82310293560228,1.59321881802305
